AREA,BFIHOST,FARL,FPEXT,LDP,PROPWET,RMED-1D,SAAR,Index flood
0.113654006,0.436953642,0.89144385,0.301210787,0.175194346,0.328571429,0.427017544,0.249075975,0.115640549
0.158922746,0.584238411,0.835828877,0.733131535,0.276144484,0.176190476,0.318947368,0.115195072,0.105811295
0.257193063,0.380794702,0.510695187,0.203467254,0.354228504,0.341269841,0.473333333,0.350924025,0.236827099
0.425334098,0.377615894,0.878609626,0.586956522,0.471888496,0.544444444,0.443859649,0.343942505,0.441693569
0.130096603,0.273774834,0.73315508,0.560539351,0.22978406,0.265079365,0.44245614,0.207186858,0.133235527
0.489861545,0.545033113,0.754545455,0.810181618,0.422198665,0.252380952,0.342807018,0.155441478,0.164491906
0.131568869,0.33205298,0.9,0.361970281,0.255665489,0.201587302,0.375087719,0.12587269,0.116429823
0.132761359,0.318278146,0.9,0.216235553,0.231542992,0.646031746,0.674035088,0.628131417,0.195694587
0.402841909,0.356423841,0.232620321,0.418326912,0.509328622,0.620634921,0.697894737,0.6137577,0.445532535
0.1930784,0.326754967,0.686096257,0.554375344,0.287451904,0.201587302,0.407368421,0.14312115,0.12535559
0.183547657,0.803576159,0.767379679,0.3263071,0.326274048,0.277777778,0.452280702,0.257289528,0.113235228
0.118061631,0.226092715,0.89144385,0.199944964,0.162127994,0.607936508,0.467719298,0.334086242,0.150298641
0.121501505,0.629801325,0.874331551,0.199504678,0.164075383,0.303174603,0.471929825,0.249897331,0.121431387
0.56191085,0.349006623,0.617647059,0.291084205,0.672155477,0.519047619,0.553333333,0.431827515,0.479432039
0.119703598,0.245165563,0.9,0.154595487,0.181727523,0.56984127,0.421403509,0.197741273,0.117616287
0.102696861,0.390331126,0.9,0.1,0.122300746,0.379365079,0.483157895,0.378850103,0.109509624
0.159569442,0.502649007,0.686096257,0.251458448,0.214707499,0.506349206,0.483157895,0.280698152,0.188013245
0.16673814,0.374437086,0.874331551,0.292405063,0.285253239,0.595238095,0.43122807,0.357494867,0.240735958
0.22610119,0.436953642,0.852941176,0.44166208,0.33180212,0.633333333,0.372280702,0.340246407,0.248621863
0.139095313,0.36807947,0.600534759,0.424050633,0.246117,0.595238095,0.63754386,0.624845996,0.221689435
0.189202809,0.375496689,0.840106952,0.263786461,0.317856302,0.404761905,0.471929825,0.230595483,0.173059688
0.119400889,0.340529801,0.895721925,0.22812328,0.187946604,0.722222222,0.606666667,0.621149897,0.170741307
0.150511108,0.381854305,0.9,0.191579527,0.277338045,0.468253968,0.512631579,0.362422998,0.150313983
0.135907697,0.421059603,0.25828877,0.363731425,0.228716137,0.442857143,0.848070175,0.797741273,0.176939567
0.312364053,0.398807947,0.878609626,0.218436984,0.340848057,0.658730159,0.752631579,0.624024641,0.632504819
0.111319478,0.391390728,0.882887701,0.65299945,0.149312917,0.23968254,0.396140351,0.123408624,0.104931674
0.332952845,0.490993377,0.882887701,0.248816731,0.517934825,0.531746032,0.434035088,0.267556468,0.266092399
0.120478716,0.387152318,0.89144385,0.325426527,0.174063604,0.557142857,0.596842105,0.486447639,0.20644864
0.61362362,0.377615894,0.844385027,0.294166208,0.479175501,0.544444444,0.412982456,0.25523614,0.696493875
0.224748173,0.245165563,0.857219251,0.595321959,0.366666667,0.353968254,0.398947368,0.156262834,0.191258127
0.109163824,0.293907285,0.89144385,0.369895432,0.134738909,0.392063492,0.60245614,0.539014374,0.121458661
0.343387129,0.549271523,0.870053476,0.296807925,0.432438163,0.353968254,0.404561404,0.209650924,0.196804342
0.119575176,0.51218543,0.9,0.190258668,0.197495092,0.43015873,0.700701754,0.553798768,0.163264528
0.132348574,0.411523179,0.874331551,0.292405063,0.264899882,0.404761905,0.509824561,0.373921971,0.166264786
0.150153361,0.222913907,0.822994652,0.287121629,0.227334119,0.722222222,0.755438596,0.626078029,0.208063832
0.132307295,0.9,0.600534759,0.262905889,0.247875932,0.252380952,0.414385965,0.206776181,0.100998949
0.200334241,0.406225166,0.882887701,0.243973583,0.242159403,0.455555556,0.516842105,0.374743326,0.237850767
0.131408342,0.334172185,0.745989305,0.347440837,0.221806046,0.722222222,0.864912281,0.817864476,0.272706614
0.146057618,0.502649007,0.9,0.247495872,0.287828818,0.417460317,0.563157895,0.457289528,0.154613216
0.130018633,0.326754967,0.797326203,0.241772152,0.224318806,0.658730159,0.43122807,0.360780287,0.151676032
0.116392146,0.518543046,0.9,0.194221244,0.184742835,0.43015873,0.518245614,0.394455852,0.109392853
0.172608858,0.515364238,0.604812834,0.585195377,0.293294071,0.252380952,0.341403509,0.157905544,0.107739301
0.134403325,0.31192053,0.857219251,0.354045129,0.222685512,0.150793651,0.35122807,0.116427105,0.119667031
0.266976064,0.319337748,0.870053476,0.351843698,0.364782097,0.595238095,0.469122807,0.383778234,0.341143166
0.198403325,0.495231788,0.75026738,0.407760044,0.272061249,0.303174603,0.460701754,0.225667351,0.184414641
0.198174,0.700794702,0.797326203,0.297688498,0.304036121,0.265079365,0.432631579,0.229774127,0.125266092
0.141792174,0.39986755,0.857219251,0.395432031,0.220486847,0.23968254,0.387719298,0.158316222,0.12244227
0.291697291,0.291788079,0.775935829,0.52135388,0.45147232,0.201587302,0.377894737,0.131622177,0.163097468
0.111888204,0.458145695,0.788770053,0.869620253,0.147553985,0.214285714,0.320350877,0.120123203,0.101036453
0.123056328,0.330993377,0.861497326,0.321023665,0.181601885,0.56984127,0.533684211,0.511498973,0.193561165
0.226679088,0.342649007,0.870053476,0.483489268,0.297314488,0.480952381,0.450877193,0.311909651,0.235908271
0.293596101,0.264238411,0.236898396,0.333791965,0.415791127,0.56984127,0.443859649,0.370225873,0.344020686
0.124629497,0.682781457,0.861497326,0.284920198,0.17996859,0.23968254,0.405964912,0.214579055,0.112994014
0.19982514,0.270596026,0.527807487,0.217996698,0.333812328,0.493650794,0.526666667,0.37063655,0.258947182
0.106948545,0.725165563,0.9,0.155916346,0.130404397,0.277777778,0.469122807,0.237577002,0.101342445
0.180263724,0.551390728,0.784491979,0.647716015,0.251330978,0.303174603,0.453684211,0.215400411,0.14504819
0.207131432,0.781324503,0.810160428,0.239570721,0.30221437,0.226984127,0.414385965,0.172689938,0.105351028
0.113713631,0.230331126,0.9,0.325426527,0.184114645,0.582539683,0.537894737,0.42936345,0.147058021
0.162541493,0.219735099,0.865775401,0.621298844,0.283557126,0.125396825,0.34,0.110677618,0.124391585
0.136127849,0.64781457,0.694652406,0.36549257,0.197809187,0.176190476,0.421403509,0.154620123,0.104844735
0.139613588,0.227152318,0.651871658,0.292845349,0.22789949,0.582539683,0.615087719,0.475359343,0.240880005
0.138558693,0.582119205,0.9,0.206549257,0.287137809,0.404761905,0.44245614,0.321355236,0.120633591
0.116130715,0.36384106,0.634759358,0.281397909,0.185999215,0.417460317,0.619298246,0.542299795,0.12793223
0.680407625,0.288609272,0.720320856,0.435057788,0.856592069,0.328571429,0.441052632,0.267145791,0.767465315
0.136036119,0.398807947,0.818716578,0.221518987,0.251645073,0.43015873,0.631929825,0.490143737,0.200847871
0.164729253,0.364900662,0.895721925,0.230324711,0.25748724,0.658730159,0.595438596,0.538603696,0.325839294
0.133311739,0.461324503,0.9,0.382663731,0.175885355,0.303174603,0.519649123,0.234291581,0.151509826
0.199481152,0.40410596,0.810160428,0.239130435,0.342921084,0.557142857,0.533684211,0.340657084,0.20694385
0.208057905,0.418940397,0.835828877,0.363731425,0.36076168,0.633333333,0.565964912,0.454414784,0.281619585
0.423848072,0.627682119,0.72459893,0.808420473,0.403855516,0.188888889,0.32877193,0.119712526,0.127679937
0.173283073,0.716688742,0.788770053,0.464556962,0.250954064,0.214285714,0.348421053,0.145174538,0.109912784
0.106604558,0.281192053,0.89144385,0.350963126,0.130906949,0.43015873,0.615087719,0.56201232,0.120296915
